Text,Predicted,Target
"Total fakes labels are not all the way sowed on, no label on the inside pocket other than that they are good looking quality fakes and also I ordered 505s not 549s",Product Issue,Product Issue
They are very nice looking sunglasses for being fake. @ least in my opinion because i first saw the original Carrera @ Saks Fith Ave. Store in person and the quality was much better material wise. But the ones i recieved were not as sturdy and strong on the hinges & frames. I would only buy these if i were looking for a cheap pair and only pay as much as $20.,Product Issue,Product Issue
Wow. Not even a good fake. There are very specific things that Ray-Ban will always have. One being the Ray-Ban logo and model number etched under the nose piece. Not there. The metal looks like painted plastic. I am disappointed. I purchase a huge variety of items from Amazon and sellers always do a great job. Currently purchasing a smart phone. Hope my next experience is better than this. In this particular case....buyer beware. Also note: I had some correspondence with seller prior to purchase. Point blank asked if they were authentic....... FOh well.,Product Issue,Product Issue
"DON'T BUY THESE!! They look cheap, there's even a tag that says Made in China. Absolute garbage, fake pearls look better. Getting my money back.",Product Issue,Product Issue
"This bag is faux (fake/plastic) leather. There is a genuine leather tag on it- this is the only leather part of the bag. Also, the bag you will recieve is a completely different bag from the one pictured. It is tan, not brown. It has no cell phone pouch on the side. It has only one zipper pouch on the front. The size was good, that's about it. Returning this bag. SEE ATTACHED PHOTO.",Seller Issue,Product Issue
"The first pair of these I ordered 6 months ago were perfect. I ordered an exact replacement after dropping the first pair to the bottom of a river. What came from Frames Direct were clearly knock-offs. They appear to have been a previous return, so I'm not sure frames direct is at fault. The lenses were thin cheap plastic and the etching scraped right off with my fingernail. Also they came in a brown case (not black as the previous pair). Finally, the Rayban logo on the side was just glued on top. They weren't even a good knockoff. Come on scam artists, take some pride in your work! Just from the heft I could tell they were not real. Return processed easily for a replacement, hopefully my next pair will be authentic.Update: 27Sep2015Second pair received. Even more fake... if that's possible. This pair also had all of the above defects, and did not have the etching in the lens. Cancelled order I'll try from a different seller (not Frames Direct).",Product Issue,Product Issue
"Fake!! Do not purchase! The Ray Bans I received are fake replicas and I'm returning them. I bought an identical pair of Ray Bans from an authorized dealer and when I compared them the weight and quality of the sunglasses is not the same. Don't get fooled. These replicas have all the correct markings on them, however the size of the writing is not the same as authentic Ray Bans. My brown sunglasses also came in a black leather case instead of the brown leather case. That was the first mistake I saw. The size of the warranty booklet and cloth was also smaller than the authentic pair.",Product Issue,Product Issue
They were fake raybans,Product Issue,Product Issue
I've owned 2 pairs of these over the past few years. Bought these and received a cheap knockoff. The ones being sold here are fake.,Product Issue,Product Issue
It's not what I expected in the description of the product large lens but the one that I got is small lens and besides the lens is too dark also. I have few Rau Ban but this one looks fake.,Product Issue,Product Issue
"I bought these ignoring the poor reviews since they were sold by Amazon but the negative reviews were true. I don't know if they're fake, everything checked out, but they felt cheap, the arms creaked, and the lenses felt loose. I even went to sunglass hut to double check and they are definitely lower quality. They've been returned.",Product Issue,Product Issue
Look like fake,Product Issue,Product Issue
The pair I got were defective. Sounds like other customers have had the same problem. The frame was very squeaky and loose. It seems like I got a pair of fake Ray Bans. I decided to spend the extra money at LensCrafters and the difference was huge. You can definitely tell when you get a pair of cheap ones. Careful with this product. It is fulfilled by amazon but I don't think anyone is checking the quality of these sunglasses.,Product Issue,Product Issue
"I purchased these boots despite the negative commentary regarding the quality of the boot. I had faith that Dansko would never put their name on an inferior product and perhaps the negative reviews were anomalies. Unfortunately, I have to agree with the negative reviewers.The boot's leather quality was awful - it was hard, plastic-like, and absolutely uncomfortable. It felt like I had purchased $9.99 fake leather boots from Walmart. Interestingly, inside the boot where the size was stamped I found a manufacture date of 11th May 2009. I purchased these in November 2010. I have returned these boots and have since found the exact same boot (with current 2010 manufacture date) at a major department store. The leather on these boots is soft, supple, and true to Dansko quality. So beware and check the manufacture date on your boots! With the newer boots I agree with the positive reviewers and find this to be a fantastic, stylish, and comfortable boot.",Product Issue,Product Issue
I know I'm a little late with the review. I believe my kangol to be some Chinese knock off. it's fake. 5hanks for that,Product Issue,Product Issue
"I purchased these for my mom who wears a women's size 10. They were supposed to be a replacement for her regular style Croc clog's.My mom is a creature of habit, so when she told me they were too small I thought she was just reluctant to part with her old pair. When I inspected them, they were indeed much smaller. Like maybe a women's 7 or 8! The sizing label and lettering was identical to her old pair (which was purchased at a brick and mortar store). I'm not sure what happened. Maybe they were a fake brand? The size difference was too much to just be a difference in the Baya and traditional clog style. Unfortunately, I wasn't able to get the shoes back from my mom in time to return. Next Crocs will have to be an in store purchase again.",Product Issue,Product Issue
"I was considering this watch as a purchase. There are a ton of reviews that say this watch is to die for and how great it looks in person but a few reviewers had a very different opinion on the quality of the watch once received. I always look for the negative reviews (Why) well... because I kind of get weiry when everyone says it's a must have, I'm difficult like that at times I guess but anyway 1 particular reviewer caught my attention (Mr. Fritz) thank you. When he stated the differences between a real one & a fake one and I hate fake ones at any cost but he did show a flaw in the design of this particular model here and I did some of my own research and found out that he was 100% correct. This Michael Kors watch is a knock off (Fake) or what we say in Brooklyn a Fugayzie... I would love to buy the real one on Amazon but feeling kind of leiry after this close call. I think I'll shoot for the real watch $100 more at a reputable retail store... Reviews are great... Saved me from disappointment 2day...",Product Issue,Product Issue
"Im updating my review for these pants and downgrading them from 5 to 1 stars. Why? After purchasing 6 pairs I have found the following to be true.01) The wear is extremely poor. Granted I give my pants pretty rough treatment but these have extremely poor abrasion resistance. Now I find I have to patch them after (get this) wearing them one time.02) Can't get them clean. The teflon prevents detergent from getting in and cleaning the pants of just regular old dirt.Bottom line. These are fake and will not last. Despite being well designed, they are of very poor quality. I am done with Propper and I advise you to be also.",Product Issue,Product Issue
This was a total nightmare!! I will NEVER buy something like this again on line. Not only was it defective when I carefully looked at it but I believe it was a fake. Took numerous e-mails back and forth to finally get it sent back and thank goodness Amazon stood behind it's return policy and completely refunded my money and even paid for the postage for me to send it back. All I can say is buyer beware! I have regained confidence to buy from Amazon on line but I'll be more cautious from now on for sure.,Product Issue,Product Issue
Buyers beware! I'm a long time wearer of Frye boots and what I received were fake! 1) the smell was awful 2) no Frye trademark on the bottom of the shoe 3) no label stitched in on the inside of the shoe 4) stitching on sole not consistent and flawed in some places. All signs indicate these boots are not real. How can Amazon allow this to happen? Now I have to drive 30 minutes to return these. I have to go out of my way to get my money back!! Frustrating!,Product Issue,Product Issue
They did not look like FRYE boots. Very cheap looking. Everyone I showed them to said they were fake. The return went well.,Product Issue,Product Issue
"i have normal size wrists, but this thing is huge! if you don't mind it moving up and down on your arm, i guess is would be fine--- that is if you are retired, with poor eyesight and don't mind a fake giant stone. this is not a cut against retired people. i'm just thinking of a difference of opinion concerning style. it's not for 20-30 somethings. it might do if it is for a dark evening out. i have always loved all of my amazon purchases- but this one is crappy!!! it matches the necklace fine, but necklace is nice-- if i keep typing, i'm just gonna get more ticked off.",Product Issue,Product Issue
Why would anyone get this. Its clearly all fake. Spend more money on an actualwatch that's not made in China.,Product Issue,Product Issue
This product is clearly fake and overpriced.,Product Issue,Product Issue
Look fake,Product Issue,Product Issue
"I don't like because it is made in asia, i cannot guarantee if it is fake or original. I regret it.",Product Issue,Product Issue
"I had these glasses for 2.5 yrs & wore these glasses infrequently, mostly on long drives when it's sunny out in FL. I took them to Cancun on my honeymoon. There I wore them on the beach but didn't go into the water. Right when I got back into my room a crystal like substance started growing all over the lenses. I immediately ran them under water to wash the crystals off. When it was over, most of the outer layer of film on the lenses was gone and there were 2 shades of tint on the glasses. Not sure if they're a fake pair or if the lenses are cheap quality sold at luxury prices.",Product Issue,Product Issue
Not sure if these boots are REAL EMU's. The insole does not come out like they do in real UGGS and I thought real EMU's were made in Australia but there was a Made IN CHINA label stitched in the inside of the boot. I need them for a ski trip so won't send them back yet. I'll see how they hold out for the next few weeks but I am pretty sure these are counterfeit or EMU is of lesser quality than I expected and I will go back to MADE IN AUSTRALIA UGGs. I would/will order straight from the manufactures website next time for both UGGS and EMU's There's just too many fakes out there!,Product Issue,Product Issue
shoes is fake I didn't want to give it a star but that was the requirements,Product Issue,Product Issue
These are 100% fake. I took them into several stores that sell authentic Timberland boots and every store told me they were fake within seconds of looking at them.,Product Issue,Product Issue
"Daughter was not happy, shoes were fake, had to purchase them from footlocker",Product Issue,Product Issue
"Everyone thats trying to buy this- DON'T. They jiffed and me and my friend. They're fake timbs, rip offs, boot leg, catching my drift here? Look at the attached photo. Im beyond words right now. 100 percent dissapointed. Had 4 people come up to me telling me they were fake. Didnt want to believe them but did my research. Wasnt too hard to figure out just how fake they are.",Product Issue,Product Issue
The shoes I bought were fake. One of the timberland emblems were upside down.,Product Issue,Product Issue
"Cheap finish, looks like it is painted on. Considering the value was supposed to be over $100, these earrings may sparkle and shine, but close up, the finish was very fake ... They will probably peel if they get wet.",Product Issue,Product Issue
Very cheap product. It looks fake and poorly made. fake fake,Product Issue,Product Issue
"After less than a few months I've decided these are likely fake Ray-Ban sunglasses. The quality is not what I've come to know from Ray-Ban. Repeated problems with frame, lenses popping out and other issues.",Product Issue,Product Issue
"My first bad online purchase experience! The Boots were so fake: the glue was showing outside the edges, the inside skin looked more like hard plastic. The boots were so horrible I had to send them back because those are the kind of boots you have to throw away after the first try. I was really disappointed.",Product Issue,Product Issue
You need to buy separate glue. The moustache was very flat and shiny. I bought make-up glue and it started to fall apart from the moisture in the glue. I was careful until the glue dried and it stayed on fine. It looked totally fake. I would not recommend.,Product Issue,Product Issue
i bought it for my cousin but i didn't like it.. material is really poor and looks fake. My cousin liked because of the color and style.,Product Issue,Product Issue
Horrible. Returned the item because it was extremely fake looking. The wig looked like a mullet,Product Issue,Product Issue
I recently ordered a Kanken bag off the Fjallraven website... and I will warn you now save yourself the money and order from the website not here. My bag I ordered off here is a fake as the material is a light and weak canvas as where as my new bag is strong and sturdy. Just be warned... it took me this long to figure out.,Product Issue,Product Issue
"This bag is a fake. I got the charcoal one for only forty dollars, and while it did have the right buttons and zippers, the paper tag was printed in the wrong color, the tag inside was the wrong material, and the stitching on the bag isn't great.",Product Issue,Product Issue
"I am so bummed! Several friends own and love this backpack, so I decided to order it for my daughter. As soon as the pack arrived, I thought that it looked cheaply made. However, I kept it hoping that it would be as durable as everyone claimed.Last week, I got a close-up look at a friend's pack and realized that it was made of a different material (far superior quality) to the one I had received. After looking back over the reviews, I realized that I must have received a fake. It's too late to return, but at $50 through Amazon Prime, I would have hoped that this wouldn't happen.",Product Issue,Product Issue
"Look out for fakes! :( I noticed right away there was something off with mine. It didn't have the reflective logo and the seams inside were all ripped and jagged. The name card on the inside was an off font as well and there was no Swedish flag attached. Pretty bummed, save yourself the hassle and order direct or buy in store",Product Issue,Product Issue
IT IS A FAKE!!!!! I didn't know it's a fake until one of my friends bought one from Urban Outfitters a couple days ago. This one's quality and texture are very very very different from the real one!!! I'm super pissed!,Product Issue,Product Issue
This is a fake and I am returning. Watch the videos for clues. All of the clues were there for the one I was sent. And the size was quite small. Dont be fooled by Amazon Recommended. A real one will cost you $80...not $40.,Product Issue,Product Issue
i did some reserch and found this may be a fake,Product Issue,Product Issue
Excited when I received bag but it turned out to be a fake. Had to find out the hard way after comparing with an authentic bag. Material feels cheap compared to the real thing. Threads started ripping after a couple of weeks. Definitely not the real deal. Stay away.,Product Issue,Product Issue
"This is my first review on Amazon. I have to do this because I am so disappointed! I wish I could give the seller zero star!!! ----I received a fake backpack. Very very fake one: different color,different fabric, different details. What a time wasting!!!",Product Issue,Product Issue
so I received my kanken about 5 months ago. just recently (maybe 2 weeks ago) I noticed that the stitches were coming undone on the logo and the front pocket. now I've seen plenty of the fjallraven kanken reviews on YouTube and some of them have had their bags for years and none of them had to deal with the stitching coming undone. im starting to think the seller (cambridge selects) sold me a fake kanken which really is a big downer since I really do love the whole kanken line,Product Issue,Product Issue
"It is a fake one, do not buy it!",Product Issue,Product Issue
"Please be careful buying on Amazon.com for this item. I bought the ox red backpack under the assumption this is a great deal for a great backpack, and this bag's color bled onto my white clothes (shirt and shorts), staining them irrevocably with shades of red. I called Fjallraven and they told me their bags usually do not do that (they don't hear about that at all). Another thing is the foam pad that comes with the backpack wouldn't go back into the compartment it came in, and also curled up (again irrevocably).I ended up getting a kanken from the actual store, and the padding is visibly thicker and so is the backpack material. I have a feeling the color won't bleed with this authentic one. Buyer beware. If you DO take a chance, make sure you look over it thoroughly so you could return it asap if it's a fake!",Product Issue,Product Issue
"I was really excited because i got the bag in the mail earlier than anticipated but after looking at the bag for a while, i realized that it is a fake. I am a university student and these backpacks are quite popular so I know what the real ones look like. The material of the bag and the logo are very different from the authentic ones. In addition, the bag is most definitely NOT water resistant. If you want to receive an authentic bag, it's probably safer to go buy one at an actual store so you can verify that the bag is authentic.I do still use the bag because it is a good size and it looks cute but I would never order a bag from here again.",Product Issue,Product Issue
"Hurt my feet. Too narrow. Decent looking at first, but why so uncomfortable. I had Keds before..Are these fake?",Product Issue,Product Issue
"These fit, but are definitely fake. The tags, box, and labeling are all similar to the keds logo, but obviously are a knockoff once recieved. The pictured pair is not the same",Product Issue,Product Issue
"Totally fake. I am very disappointed. The sole is stiff and clunky, the canvas fabric is thin and poor quality and they are in general a bad COPY.The keds I received from this seller are cheap I could buy ones for less price. The pictures are not really the shoes I received. Dont waste your money as I did",Product Issue,Product Issue
"These are not first quality Lucky Brand jeans. Ordered size 8 and I have 3 other pairs of the same style in size 8 that were purchased both in a store and here on Amazon all of them fit fine, these were significantly smaller at the waist. Also the fabric is nothing like the others I have. It is half the weight of normal denim but it is not like the typical stretch denim which is usually thinner, these are just cheap. I suspect these are either irregulars that did not pass quality control or they are fake Lucky Brand.In addition to that, the jeans arrived with the clear packaging envelope completely torn open and just stuffed in the outer shipping envelope with the jeans. There was also no packing slip in the envelope like all other Amazon purchases. Returned them.",Product Issue,Product Issue
I bought this ring to replace my wedding ring which I sadly lost. This ring looks amazing online but in person not as great. The center stones are a lot bigger than they look in the picture. The weight of the ring is very light which makes it feel very fake. The two bands didn't fit well together either. I was super disapointed. It is very shiny so if your looking for a bling ring this is good for that.,Product Issue,Product Issue
"Bought this ring but was disappointed in how extremely fake it looked! There is no way those could ever pass for real diamonds. It was very very sparkly, yes, but it just screamed cheap! I returned it the next day.",Product Issue,Product Issue
"These shoes look amazing online, but in reality they failed to meet expectations. The fake leather smell is very overwhelming! You can smell it through the box. The fit in the toe area is also very wide, although I ordered 1/2 size up based on other review suggestions. What I found most disappointing is that the material made very awkward crease/dent ridges just below the black laces leatherette trim. When I say dent, I mean dent! I am returning these and giving in to the additional cost of the more expensive brand from my childhood catholic school uniform days!",Product Issue,Product Issue
"These are FAKE Ray-Bans. I dropped them a few weeks after purchase, and ordered replacement lenses from Luxottica. The lenses didn't fit, so I ordered a second set (thinking they sent the wrong size). When they final led arrived 4 weeks later, they didn't fit so I brought them into a Sunglass Hut. The employee tried multiple times using all of his tools to get the lens until he finally surmised that this pair was definitely fake.",Product Issue,Product Issue
"Its simply fake, no one should waste their money on it. It feels cheap and uncomfortable when wearing it !!!!!",Product Issue,Product Issue
fake shoes,Product Issue,Product Issue
"Probably fake. Do not buy these shoes! I have 8 other pairs of Toms, from different retailers. There's no way these are real. They're at least a size too small, and terrible quality. They're made of cheap material, the sole is very poor quality, and they just seem haphazardly sewn together. Lesson learned, Amazon cannot guarantee authenticity! Buyer beware!!",Product Issue,Product Issue
These are fake Toms.,Product Issue,Product Issue
They are fake.,Product Issue,Product Issue
"After reading some of the other reviews, I am positive the pair I received is fake. The first thing I noticed was that these do not fit. I am 8.5 in TOMS and have multiple pairs that I wear daily. These are at least a size smaller, I could barely squeeze my foot into them. I thought maybe it was just because they were new and I needed to wear them in and stretch the fabric out a little bit... nope! Another thing I should have caught was that the color is way off. I bought the Ash color to replace my current pair and it is a lot darker. Wish I had read some reviews and not ordered these. I was busy and thought I had more time to return these, but waited too long. Now I'm stuck with a pair of fake shoes that don't fit me. Do your research and don't waste your money on these. Even if they do fit you and look real to your friends, the quality isn't the same and in the long run you're not saving any money.",Product Issue,Product Issue
Think these maybe fake too small. Also no option for me to return. This was not stated anywhere in the description that these were not returnable.,Product Issue,Product Issue
"I was really excited to try out my new Toms, but to my disappoint after 1 day of wearing these the inside slip came out. Never had that problem before with my previous Toms. EitherToms stopped making quality footwear or these are fake.",Product Issue,Product Issue
They came to me dirty on the sole and frayed. There is no way these are new. Do not waste your money. I'm afraid they are fake. I'm sending them back.,Product Issue,Product Issue
"These are not real Toms. I own real toms and these are not authentic. I wish I read other reviews of these being fake before buying. Amazon is not an authorized distributer of Toms and the one for one doesn't exist with these shoes. Very sad that they would still advertise as touch. I kept the shoes but will not be buying again. Real toms are worth the money, not these FAKES!",Product Issue,Product Issue
"Too small and I didn't want to go threw the hassle of returning them so I gave them to my sister. the toms label on the back of the shoe looked nothing like the one on authentic Toms, i think the might be fake ",Product Issue,Product Issue
"These are NOT real TOMS. Do not waste your money. I suspected they were fake immediately based on the way they fit, but thought I'd give them a shot. Huge mistake! They are of very poor quality and fit. I didn't read the reviews because I have other pairs of TOMS that are wonderful, I never suspected that they were not authentic when ordering! Lesson learned!",Product Issue,Product Issue
These are DEFINITELY fake Toms. The sole of the shoes came off right away after taking them out of the box. I Don't think its worth it. Just get them at Nordstrom,Product Issue,Product Issue
"I ordered an 8 1/2 (I can usually wear an 8 or 8 1/2). They sent me one shoe that was a 9 and one shoe that was a 10!! The 9 was tight...fit like a 7 1/2 - 8. The 10 had a good quarter inch gap at my heel. They look like Tom's...even the box looks authentic (in reference to those saying these are fakes/knockoffs). I've never owned a real pair of TOMS, so I cannot tell if they're real or not. One other reviewer mentioned a TM mark vs. TOM's R mark. The ones I received do not have ANY mark at all...beside the name TOMS or beside the name SKECHERS! There is a tag hooked on with a TINY circle mark by the name Skechers....I had to get a magnifying glass out to see what was inside the circle. I don't know, but to ME, it looks like a star or the letter M. So....without having an authentic pair next to these to compare to, I'd still guess that they're indeed knockoffs. Not sure how well they'll hold up. No one else would be able to tell by glancing at them on your foot that they're not real TOMS, but purchasing these, defeats the purpose of your purchase helping someone less fortunate have a pair of shoes on their feet! But.... if you end up purchasing these anyway, I'd order up one size. Oh, and the Ash ones I ordered are a dark greyish taupe....loved the color...a great neutral. Too bad I don't trust them now. I'm returning my mismatched pair and I'm heading to the TOMS website! I guess in this case, you get what you pay for. Amazon was GREAT in taking care of the return. No worries or headache there....as always!",Product Issue,Product Issue
"I just received this item and i am appalled at what i received....is this item REALLY supposed to pass as a pair of TOMS? I could immediately tell that this was a knock off product as soon as i put my finger on the shoe. The rough texture of the canvas is not the same material that i've grown accustomed to with my multiple authentic pairs of TOMS (purchased from the TOMS website). Authentic toms have the insoles sewn into them, and with the pair I received, the insole came right out! Not to mention the pattern on the inside does not match the pattern for black toms listed on the TOMS website. I have NEVER been so disappointed with a TOMS purchase. Please, do yourself a favor and DO NOT waste your money. Spend the extra couple of dollars to buy the really authentic pairs from the actual TOMS website.The fact that Amazon allows this product to be sold is an insult to all of their shoppers. This product is obviously flooded by fake reviews because there is no possible way anyone is satisfied with this product.",Product Issue,Product Issue
Were far off from the actual ray ban wayfarers. Went to sunglass hut for them to look at the glasses just to make sure. Was told they were fake. DO NOT BUY,Product Issue,Product Issue
Its no leather!!! this belt is a fake!!!,Product Issue,Product Issue
Ive worn 501s for 30 years now every pair fits differently and the material has gotten real thin used to be STF was stiff and would take many washes to even lossen up not any more Bye Buy Levi's Take your fake denim overseas for suckers who never new real Levi's,Product Issue,Product Issue
Leather is fake,Product Issue,Product Issue
Seems fake. Runs too short.,Product Issue,Product Issue
"Possibly fake according to a video I watched on how to spot fakes the number on the back of the main fly button should also show up on one of two tags. The one I received that I opened had no matching numbers. Also I looked at the pairs I bought thru Amazon before and they also don't match. Really would be nice for Amazon to carefully check suppliers and have a seal of approval as genuineBut after all this.. I am keeping the two pairs since they were cheap and look good. The stretch feel is amazing. I started the return but not going to do thru with it. Nothing makes me madder than cheaters,",Product Issue,Product Issue
"I am flat out pissed at Levi's at this point. The SEVENTH pair of Levi's 559 jeans ordered from Amazon. Different colors, but even worse, DIFFERENT COUNTRIES OF ORIGIN. My goodness, the only pair that fit me half decently were the pair from Pakistan. They at least had a decent fit, look like relaxed straight leg jeans, and have a material very similar to denim. The rest... god the rest... the rest are just pure trash. A pair from Mexico that claim to be size 38 but fit like size 34's with super tight thighs and bell bottom like ends. A pair from Egypt that have an almost fake feel to the denim and an over sized waist with very tight calve sections. A pair from Vietnam that just don't fit at all due to a really weird 'poof' feel to the back side. I'm so fed up with this. What happened to this company? What happened to Levis making denim jeans for the everyday man and woman? Is your manufacturing process so scattered that you can't even pull together the same materials?? Or roughly the same measurements? I mean come on, how does a size 44 equal a size 38 but a size 38 equals a size 42? Bah hum bug is right, Levis should be ashamed that they are even offering jeans for sale online with this type of quality and manufacturing differences.",Product Issue,Product Issue
"fake levis, alert!",Product Issue,Product Issue
"I ordered three pairs of jeans and two of them are most likely not real Levis. The thread color on the pockets was a almost neon green color. I'm use to seeing the same orange stitching throughout the entire pant. The Levis patch on the back looks fake. The zipper is very different! The actual tab you use to zip and unzip is very distinctive on real Levis. They have a raised notch stamped into them and the Levis logo engraved into the tiny tab. The ones I got were just a flat copper tab, no notch, no logo. And the biggest giveaway, the fit! I'm use to my 550's fitting loose but comfortable but these fakers were tight around the leg and fit terrible around the waist. Like I said, one pair was the real deal and I was able to compare them side by side. Unfortunately, I noticed these things when I first put them on...after I had washed them like I do with all of my clothes. So of course I could not return them. Spend the extra and go to your local mall and buy the real deal. I hope these are not what Levi's is cranking out these days.",Product Issue,Product Issue
My husband was so upset with me he does not want them at all he say its a fake and its a waste of money is this really a Levis jeans?,Product Issue,Product Issue
This is NOT a Levy Curvy jean. It is a fake knockoff.,Product Issue,Product Issue
"I did not like what I recieved at all. It fits okay, but it sheds. There is fake hair all over my bedroom. It also tangles very easily. Only a few strands look good. The rest is just crap. Really terrible.",Product Issue,Product Issue
This is my first not happy review I've ever written. The picture of this necklace has such a beautiful color. I received a VERY PALE yellow stone. It looks like a fake CZ for lack of a better description. Packaging was very nice.. but the color of the stone is not. So sorry :(,Seller Issue,Product Issue
"Stones are so pale they are almost pink, color of gold is almost brassy. Looks cheap and fake, waste of money.",Product Issue,Product Issue
"These jeans are NOT real Levis, definitely knock offs. The material is way thinner than levis are and the tags are cheaply made, unlike real levis. I could have gone to JCPennys and got real ones for cheaper than these. Don't waste your money! The reason I gave 2 stars was that they did fit fine (size 33) and I will still wear them, just disappointed for the false advertisement and paying 40$ for fakes.",Product Issue,Product Issue
These Levis came looking like they were legit Levis but I think they're a fake they feel too thin probably won't buy them again for them for about an hour and the but already is saggy,Product Issue,Product Issue
"Not happy at all. I haven't had a week yet and they are falling apart. One of the arms is loose, the metal paint off the hinge is coming off. These are knock offs! Stay away. I've had Spy's before and they held up much better than these fake glasses. Totally disappointed.",Product Issue,Product Issue
"No good at all, the tshirt have no brand and the quality of the hand no good, look Like a fake one, very frustrated",Product Issue,Product Issue
It is like a fake one. Package is very cheap,Product Issue,Product Issue
"I'm returning this watch. It is not what I expected. I always by Michael Kors watches, and this looks fake. The box it came in looks old, used and fake.",Product Issue,Product Issue
"I already own a Michael Kors watch which I purchased from a retail store. Right away after opening the box I could tell something was off, after comparing the watches, packaging, box etc. there were numerous obvious signs of it being fake. I thought I was getting a good deal on this but you get what you pay for apparently, don't buy this.",Product Issue,Product Issue
"I have other Dawgs that are 9/40 and fit perfectly. These are too small, maybe by two sizes, very disappointed. Makes me wonder if they are the real Dawgs. I bought black, navy and red. Will probably give to my daughter instead of sending back. I did by my other Dawgs from the Dawgs website, not from Amazon, that's why I think these are fake.",Product Issue,Product Issue
"I know it's a wig, but it looked very fake with how it sat in the front. Additionally, it's carrot head orange - not what I had expected. They were good about letting me return it thankfully.",Product Issue,Product Issue
"This wig doesn't look like the picture. It was extremely fake looking. It was relatively cheap, but probably not worth the price.",Product Issue,Product Issue
"Not what I thought, looks fake and would definitely not purchase again, but you get what you pay for...",Product Issue,Product Issue
It's sad that they're advertising they are THEE ORIGINAL salt water sandals by hoy shoes. I've had most of salt water sandals for over 15 years! First time I opened this it didn't have a box. First look it was a NO for me...the leather felt horrible. The fit was not like a glove and best indication was it didn't say MADE IN USA. I even had to text a friend to make sure I wasn't crazy. Her salt waters said MADE IN USA. It's kind of scary Amazon allows fakes to be sold online.,Product Issue,Product Issue
