reviewText,encoded_topic
"I forgot why I quit buying these mocs, but now I remember. The sole breaks down quickly, leaving an uncomfortable saddle under my arch. Boo. From experience, I know this will get worse until I have to throw the shoes out LONG before they wear out any other way. It becomes crippling.",1
" Ordered ring different diamond ring price , color clarity .It seemed great deal , I received ring clarity diamond want I expecting .Both title product description company SI-I .Well I thought maybe diamond might SI clartiy , DONE diamond SI clarity .The diamond LOWER end I ( imperfect ) .They cloudy shiny .I called company Diamond Delight agreed big difference SI I .And could offer ring SI clarity diamond .They said understand working Amazon list ring better true discription .Well , 2 week information still SI-I clarity .When I look company sell diamond ring Amazon seem problem , either SI , I1 , I2 I3 clarity .I 'm sure Diamond Delight problem ? ? ? ?I would paid cleaner diamond price fair .* * * credit let return ring free charge back , said error .* * *",1
These are fake knock offs. I own a pair of patent beige flats in the same size I ordered so I can compare easily. These are not comfortable and they cut into my heels. Fake!!,0
"I purchased these about a year ago. I cracked one of the lenses by dropping something on it, totally my fault. I went to the Luxottica website and followed the process to send them in and get them fixed. It's supposed to be $15 if it's not covered under warranty. Luxottica sent the sunglasses back to me, lens still cracked, stating the glasses have no identifying serial numbers that match any Luxottica sunglasses makes/models and as such they would not repair them.They seem to be pretty decent quality glasses and are nice looking, but they are without any question fakes.",0
"Definitely fake Jacks!!!! I got these in April and by May the silver part on the heels were coming off. I had to super glue it down. It came apart again now (June). I recommend just going to the Jack Rogers site directly and buying them. It also says ""made in Dominican Republic"", which is another clear sign of them being fake. I wish I could get a refund:/",0
 Gave away friend .I 'm XL figured 3X would safe tight even 3X.Also Delivery Slow .,0
Too narrow. Uncomfortable. Probably won't risk ordering any kind of shoes in the future.,1
" Was disappointed .The color costume match picture hat absolutely terrible .Made foam , gray black arrived large crease prevent horn standing straight .The horn flat foam , rounded stuffed , another thing tell photo advertisement .The costume plenty large adult even though say 12-14 .I normally wear 18 loose .However something funky neck -- 's like size armhole head fit without cutting stitching .Overall disappointed -- likely last time purchase costume online .",1
 The t-shirt fit expected made good quality material .The decoration bit washed acceptable .Delivery however took month disappointing .Turns supplier China must shipped proverbial `` slow boat '' .,0
Has ripped the moment they came out of the box I didn't even get a chance to put them on,1
It's too large,1
"this color shrank in one washing in cold water and cold air drying , to being uncomfortably tight. I noticed this one was made in Haiti , the other 2 colors I got were made in guatimala and Honduras and they were fine same model Tshirt different color.",1
 These leather stated product description .,1
 Pearl show called `` Ivory '' lighter advertised ( one many shade listed ) .It I expected .Not worth driving return .I buy hosiery person unless I find exact product worked .,1
" This product come shown picture .Even second one , definitely like one I bought store .Very disappointed .",1
" The picture Amazon packaging show pattern back dress .Mine patchwork pattern front back super light pink , thin sheer fabric .",1
These shorts run way to small. I understand what the top reviewer said about them running true but the issue lies within Dickies. I'm wearing a pair of their shorts right now that are a size 34 and they fit perfectly. I ordered these in a 34 and they're way to small. I would get it if these were 2 different brands but the same brand should run the same sizes no matter what.,1
"The vest looks really nice, and it even fits nice.  HOWEVER, I got this vest to sport my gold pocket watch that my wife got for me.  I wanted to hang it from one of the front pockets, but when I got the vest, I was VERY disappointed to find out that the pockets are false pockets.  Nowhere on the product description does it bother to mention that the pockets are false pockets.  I would not have purchased this vest without the pockets. FYI...the two front pockets are false pockets!",1
I was disappointed because I ordered my size but they were way too big for my feet. I need to return them.,1
"I compared the backpack I received (left, red) to a Jansport Superbreak backpack bought from a store last year (right, blue). Size of the one received from this seller is smaller, fabric and zippers are very cheap feeling, and it is clearly a fake Jansport backpack. I want this backpack to last, but I'm afraid even unzipping it could break it. Returning and will order from a licensed store.",0
"Bought these as an xmas gift last year, and they fell apart in the summer. Have purchased a new set from a local store. I've had pairs of converse that last years, even w/ tears in cloth. This pair i bought at this store began to separate the rubber sole from the cloth. This leads me to believe that this pair was a bootleg pair with shoddy workmanship. I could be wrong, but I've never had a pair of chucks flap apart the way these did.",1
" fit well , could n't wear caus steel toe n't list product descript , well made hatedv send back !",1
I was excited to get my Toms 2 weeks ago.  They fit snug at first but after wearing them almost every day they have stretched out a bit and feel more comfortable. Only problem is....they are now coming apart at the sole.  I'm so disappointed. I've read reviews to see if my Toms are fake or real and from what I've read they are real but I'm very disappointed to be returning them.  Next time I'll just go directly through the Toms website and not be so concerned with getting a good deal.  Actually $45 for TWO pairs of shoes is an excellent deal.  Think I'll go shopping now at www.toms.com.,0
"So, my comments are based in the overall escalation of the shoe. While the finish looked very good & the shoe seemed to be comfortable  the size was extremely large. I had read this in other comments and ordered smaller because if it. Typically I wear 11 wide (EE) & on occasion 10.5 Wide (EE) depending  on brand. I thought I'd be ok with 10.5 but these shoes are enormous. So big that I'm not sure I can estimate the correct size. Usually, one can say I would like a half size larger or smaller but with these shoes I am contemplating a size 9.5 W or maybe even a 9...they are that big; hence the two stars.",1
"LISTEN TO ME: I struggled over finding the right jacket on Amazon for the right price for father in law who just bought a motorcycle. I would not give this jacket to ANYONE! Came in the mail, could smell the stench of weird plastic and chemicals as I opened the plastic. The jacket is so much like black cardboard. If this is leather then it is leather from a 200 yr old, over processed water buffalo. Idk what I'm even trying to say, other than this is junk. Literally. There are white scuff marks all over at the corners if the collar and the stench is insane. A fake leather jacket would be nicer than this. I kept thinking maybe some of the bad reviews were from really picky people who had outrageous expectations. No. They are right. Wouldn't buy this at a garage sale. I'm mailing it back right away for refund and now desperately trying to find a replacement gift. DO NOT BUY THIS. WASTING YOUR TIME AS YOU WILL IMMEDIATELY RETURN. Trust the bad reviews. Look at pics. Jacket is so hard is stands up ON ITS OWN!!!!",0
"These hose a way too small according the page size. I use to wear the exact same hose and they always fit fine.  Have not gained weight from time I use to wear them, Very dissatisfied,",1
" i pair style jean i like lot , i decid order anoth pair .as soon i tri new one , i could tell someth n't right .they fit , tad tighter .and , stretchi , like weird one depart store sell.compar two label , i found origin pair 81 % cotton , 17 % polyest , 2 % elastan .the pair i receiv onli 60 % cotton , 23 % viscos , 16 % polyest 1 % elastan .but wait a minut , product descript say 99 % cotton/1 % elastan !what ? ? ?that 's even close accurate.pleas , levi , feel right look good , jean mostli cotton .rememb denim ?would kindli stop ad non-cotton fabric ? and , amazon , need updat product descript match actual ship .",1
Discouraged at delivery packaging which was a tight plastic evelope and moreso at torn nike box it came in. It was a last minute gift so had no choice but to keep it. Put tape across nike box and tried to wrap it wrapping paper but still looked deformed. The sandals look as advertised but not too comfortable.,0
"I loved the former version of this bag. It was leather, the card slots were more numerous and on one flap. There were more interior zipper pockets, and a nice little loop for a pen so it was always handy. This version has eliminated or reduced these features. The faux leather is stiff and looks cheap (which it is). The snaps on the pockets don't work smoothly. I tried this one time. Items fell out. Wish they'd go back to the original version. It would well be worth a higher price.",1
This turned out to be a microfiber fabric which I won't wear. They were too big. I gave them to charity. They were beautiful but not for me.,1
 the one star incompet deliveri .i understand extern factor happen howev product order decemb 9th final made town week ago .today christma gift given i anyth give .up updat everyday new deliveri date deliv .i hope wake call reformul onlin order .,0
It ripped 2 mins after I tried it on and was a waste of money. I will never buy from Berkshire again.,1
" The broom received definitely pictured .There twig tied instead thick broom shown .I 'm definitely crafty purchased first place I ca n't even fix , time get replaced !I recommend shopping around local online store buying one .",1
Size was at least 1 - 1.5 sizes too large.  Color is PINK not purple or violet.  Shipper required me to pay return shipping and it has been 10 days to date with no refund.,1
"Hmmm... not even a month and the case stitching is unraveling.  While watching a ""how to spot a fake"" video, I passed my nail over the paint on the inner right arm and the paint came completely off.  The RB etching on the left lens does not line up with the arm; mine is slightly above. Lots of things check out on these and a few things don't. I have serious feel it's fake.",0
These were knock off/fake Reef sandals. They are already falling apart. The bottoms are not the real Reef brand logo. DO NOT BUY THESE!,0
"We ordered the gray and white version of these socks, which are advertised as ""Seamless"".  We selected the appropriate size based on my son's shoe size (Medium, for shoe sizes 12-6) since he wears a size 13 boys shoe.  The socks that arrived are so large that I can comfortably wear them (I wear a women's size 9.5 shoe, the account is listed under my husband's name).  I included a picture of the sock on my adult foot to show how large they are.  (I did not have to stretch the sock to get it to fit my foot).  In addition, they are not seamless.  Not even close.  I included a close-up picture of the seam as well.  The product description is extremely misleading, I'm not sure how the sellers can get away with marketing these socks as ""seamless"".",1
I recently purchased my third pair of these shoes for work.  I have to go though a metal detector at work so having a shoe without metal in it is very important to me.  I owned two pairs of this exact model previously and loved them.  However to my disgust the have added a metal shank to this model.  Not only does this now set off the metal detector (I now have to take them off every time) it has also stiffened the shoe making it uncomfortable for breaking in.  I had blisters on both heels after the first day and it is still causing discomfort on my right heel after I have worn them 4 days now.  Very disappointed Dockers added the metal as they used to be a great shoe for me.Updated:  Would give these a 0 star if I could.  After only about a month of use the shoe began falling apart.  The shoe is now mostly fake leather that does not last and looks terrible.  Will never buy Dockers shoes again!,0
" cocoon lens lemon , hazelnut , boysenberri , orang not polar .buyer bewar !the product descript shown correct .return five pair i bought whole famili .",1
"I don't like control top. if you're already wearing a skirt or tuck in your shirt or have something around your waist, this control top deal makes you feels like you are being squeezed to death. it's just too tight and uncomfortable and really it pushes in some places.",1
"I have worn Sambas religiously since 1995. I LOVE them. My third pair is wearing thin in the sole after 8 years of constant wear, so I thought I'd order a replacement pair. These are horrendous. I'm pretty sure they're fake. I really hope they're fake because I can't believe Adidas would downgrade their classic shoe so drastically. They're made of some sort of plasticky faux leather, and the sizing is about a half size too big. I'm returning these and headed to a shoe store. More money, but at least they'll be leather.",0
runs huge and looks fake,0
"Decently made shirt, but VERY rough and thick. Tag says Made in Mexico.... Kinda disappointed for a plain t-shirt that's almost twenty dollars....",1
These are not authentic Ray-Bans. They were fake and when you compare the laser etching inside the lenses to real Ray-Bans you can see they were fake. I assume that if you compare them to actual Ray-Bans and compare the laser etching on the INSIDE of the glasses you will see what I mean when I say they are fake. Do NOT buy these glasses. They ARE fake.,0
I have been wearing these shoes for years. I ordered the same size I have 2 pair of now and they are at least a size smaller than previous pairs. A size 10 is no longer a size 10,1
"On my average-sized legs, the tops of these knee-highs were really tight with minimal stretch & they cut off my circulation which was not great on a long plane trip. I'm disappointed.",1
The posted colour did not match the actual colour of the shoes when we received them.,1
"The bra was very hard to put on.  It had to be fastened in the front but then it was too difficult to turn to the back.  Once I got it around, it felt small.  The 3/4 length ended up being too short.  I'm short waisted and thought this would be better than the longer style but it didn't.  The cup size was not as expected.  I normally wear a C cup but this B cup was too big.  I also prefer a slightly padded bra so that the seams don't show through.  Definitely need a front closure so this has to go back.",1
"The size is ok, but too narrow, and not at all comfortable. I love these shoes, but need a wider width, which seems not to be available.  Thinking about returning them, but I don't like having to pay the return charge.",1
"Purchased black converse size 12 with white trim (selection was available in color and size as was described by photo).  What we received was black on black monotone.  We went back to reorder, made our selection and proceeded to cart.  Cart showed something black on black again...(not what we selected!).",1
WAY too small.... I'm returning them.,1
"This item was ordered at least ten days before Halloween , regular delivery. It was for a Mario Brothers costume my son intended to wear. It came two days after Halloween. Amizon delivery dates are inaccurate, so If you need it by a certain date , don't use Amazon.",0
Returned the item.  Not enough credit card slots.,1
"I don't know. They look weird, the sole's soooo different from my picture of converse!!! Buuu",1
"I was not impressed with the quality of these.  I wore them once and had to throw them away.  Initially, I somehow managed to get 2 small holes in them within the first hour - no run and in a hidden spot, so not the end of the world.  By the end of the night, after having them on for 6 hours, there was a huge hole at one of the toes.  I had on open toed shoes, was not walking around outside nor dancing.  I was standing around or sitting at a table.  Very disappointing (and embarrassing!!).  Next time I will try a different brand.",1
 It full grain leather stated product description .I ordered I trying get something better cheap genuine leather belt found department store .It turn expensive version .I wear size 32 jean I ordered size 34 belt small I barely get belt fit first hole .I 've worn twice already bending warping .Would never order another belt company .,1
Too Small,1
"I'm disappointed that the red converse letters on the logo is fading away, makes the shoes looks fake.",0
" Very disappointed slipper .When I tried put , I could even get foot slipper .I high arch , seemed need flat foot able wear comfortably .I returned immediately disappointed receive little 1/2 I paid refund .The product description say `` free return '' , I checked detail deducted refund nominal fee ship back , also original shipping cost AND 20 % restocking fee .The `` free return '' language EXTREMELY misleading !",0
" parcel day late , due unabl fulfil someth , viru put halt countri , post arriv 1-2 day take week simpli control .with attitud nearli everi seller would suspend ’ unabl meet ridicul target",0
" my parcel was a day late, not due to me being unable to fulfil something, but because a virus has put a halt to the country, post that should arrive in 1-2 days are taking a week or more which is simply out of my control. With your attitude nearly every seller would be suspended because they’re unable to meet ridiculous targets",0
" I received shoe perfect condition , however using THREE day sole bottom part shoe came unglued .Now I glue shoe together .I like shoe glued together .It indicated product description whether shoe glued together .",1
I ordered the appropriate size and they were very small. They were also so shear they would have snagged on everything. I threw them away.,1
" I received two different size 2 left foot .I get refund , 's I wanted .I wanted shoe",0
"these are fakes not real Reeboks. Instead of the stitched logo on the back there is a decal, also, instead of the sewn label on the tongue, there is a decal. The fit is not the same. I will not order these from Amazon again unless there is some reassurance they are the real thing. The picture is correct, the shoes, sadly, were not.",0
"Attractive watch, but too large for my wrist.  Hurt my wrist moving up and down. Can't wear it, so returned it.",1
 I amended item handling time ten day,0
The fabric in this bra is so thin and flimsy it cannot possibly last for more than a few months.  The underwire is misplaced and pokes my underarms!  The inside of the cups are scratchy!  Piece of junk!,1
Amazon product description says 100% polyester. I was expecting quick-dry wicking athletic socks. Label on the actual product says 81% cotton. Very disappointed. Returning.,1
These may be wide for Converse shoes but not wide enough for my grand baby -- had to return them.,1
"Decent looking for he price but I had to replace the elastic strips with thicker longer ones because the ones that came with it were too tight and thin for my 3 year old. It's also just a blow up thing, I didn't realize it was an inflatable jetpack.",1
"I wanted a classic and clean looking shoe. The Converse Chuck Taylor fit the look I wanted!Unfortunately, my job requires me to stand ALL day and by 2pm my feet hurt badly when wearing these shoes. It was my 2nd pair of Chuck Taylors and I got a larger size THIS time because I thought the 1st pair was too small. WRONG! It does not matter what size-They just have NO cushion at all.",1
"The reason I didn't like it is because it wrinkles really easy and it's hard to get the wrinkles out. So when I go to grab it out of the wash and wear it, it's too wrinkled to wear in public.  I don't have the time or inclination to try to iron it so I guess it's an around the house shirt now.",1
"Super low quality, colors aren't movie accurate at all and is overall very cheap- you will be disappointed",1
"These shoes say slip resistant in the product description and they say slip resistant on the bottom of the shoe - on a sticker as well as a small, hot-orange oval near the heel.  Are they, though?  I'm sure they would have been if the tread on the bottom of the shoe wasn't already completely worn down when they arrived.How does a ""new"" shoe have no tread?  Seriously.  I don't understand.  I think East Bay sent me used shoes, but I don't know why they would have done that.Anyway, I fell at work on Wednesday.  No one saw and I didn't say anything, but I was pushing a couple of chairs and the tile floor was wet.  All of a sudden, I felt like I was standing on ice and the chairs weren't moving, but my feet were.  I landed on my hip.  Luckily I'm 25 years old, so my hip is fine, but it was painful and it sort of hurts to walk up and down steps right now.In short, thank you East Bay.  Thank you for my ""new"" pair of *used*, worn down, treadless, non-slip-resistant shoes.",1
"These didn't  fit as expected. I ordered a size up as recommended and the waist was still way too small. Yet, the legs went down to the lower part of my calves. It didn't look anything like the picture. I returned them.",1
"I have another , actually several Merrell's, and they did not bother me. Right now I have ""shoe"" extenders in them. I'm disappointedI really never thought that I would have a problem",1
" wow -- i expect .veri cheap .would last mayb 2 use .the product descript say `` heavy-duti plastic '' definit .flimsi better term ; top featheri attach n't even fit correctli .unfortun , i contact seller -- partysupplies.com -- return refund , inform accept return costum , helmet `` costum '' .oh , realli ?that 's i found websit !i use partysupplies.com ; i prefer deal compani work custom keep satisfi .sign quit unsatisfi .",1
"This braclet is a total fake I bought one and the second day the lock part broke, the paint chips off of it in a weeks time & IT IS NOT NO 18K, I took it to a place were they buy gold and they told me its a waste of money and that its Fake. !! So if your thinking about buying this item DONT BUY IT.",0
"I will admit that I did not even try to look for any instructions as to how to shorten the band to fit my wrist.  But even if I had shortened it, the face of the watch was bigger than I expected.  Just too big/long for my small wrist.  I returned it.",1
"Very disappointed. It makes your breasts pointy, there's absolutely zero padding and the material is extremely scratchy. I wore it one time and it left irritation marks from it rubbing against my skin. I do not recommend.",1
"I believe this was fake. Of all my recent CK purchased this shirt felt cheap, did not fit well, and was not comfortable. The shirt came in a clear plastic bag with no logos or cardboard. Having been inside a CK store I noticed they don't sell products in packaging like that.",0
"I ordered the three pack under shirts, however I received three white onsies instead for a 24 month old, when I had ordered three shirts for 0-3 months. Very disappointed, but I am keeping the onsies since I will eventually need them anyways.",0
" i place two order sweater .the first order arriv far estim deliveri date , second order never arriv .the qualiti sweater arriv decent , order sweater , expect wait ( ever ) packag arriv .",0
They fit like clown pants.,1
 Worse choice .Does look like picture .,1
These are the WORST tights. I bought three pairs and I was only able to wear each twice before they developed runs. So disappointing.,1
my husband ordered these and didn't like that they wasn't the real deal. they wasn't even real leather he said it was fake. and they hurt his feet. wouldn't recommend it.,0
"I ordered three pairs of Ugg's from Amazon this winter. Two pairs that I received were authentic and one pair were fake.  The fake Ugg's had the holographic tag, came in a box with a holographic sticker, and with packing and materials identical to the authentic Ugg's -- the only way I was able to tell the fakes were that they absolutely REEKED.  The boot itself smelled fine, like sheepskin, but the soles smelled VERY strongly of new plastic or chemicals. I could smell it before I'd even pulled them out of the box.  Real Ugg's do not have this smell.  Go to any fine department store and smell for yourself. If you receive Ugg's and the soles smell strongly of paint/chemicals/plastic... return them, they are not authentic.  If you are familiar with those foam rubber jigsaw puzzle pads they make for babies... it's that kind of smell.At the time I purchased the boots, Amazon was not an authorized seller of Uggs (apparently they now are), however a number of the marketplace sellers on the site are.  If you visit Ugg's website, you can find a list of authorized sellers.  Unfortunately, as I discovered, several sellers on Amazon are using names very similar to authorized vendors but are not actually that vendor.  So be careful.  Some of these folks selling the fakes are still charging $180 for the classic tall.  You will not find authentic Ugg's on sale, reduced, or anything like that at any authorized site.  If you want real Ugg's be prepared to pay full price for them or end up with fakes.The AUTHENTIC Ugg's I received were both from Shoe Central out of Ashland, Oregon -- they ARE an authorized dealer.  I love my Ugg's. I waterproofed them and that worked well for walking in heavy snow.  My toes were toasty warm.  Very comfortable.  I'm very happy!",0
"It was cute, but too small for my 15 month old, even though she's really tiny. The material felt very scratchy. All in all, not worth the price or the time.",1
"Its totally fake, wasted money",0
 thi shoe extra wide .it n't state order screen .amazon compens full refund i realli want shoe .not sure chang order screen .. forewarn get black kswiss order screen ...,1
They really need to fix the sizing chart on these.  I bought what was supposed to be 9.5 US mens and they are more like 11.5 US mens.  The shoes even say inside 9.5 US but they are not that size.  They are made in China.  I am returning and will reorder but am not sure what size to order because they sizing chart is a cluster F@#$%.,1
"This is the fake one! Definitely! The box is damaged, the glass didn't even have a package,just directly put in the bag. The frame is kinda loosened, like anytime it would broken! Don't buy it!",0
The arms are extremely wide and the zipper doesn't move down. It's extremely thin as well. Ugly.,1
" So remember 's mask , helmet .It 's rubber plastic .Imagine bought rubber mask Halloween store 15 $ , 's 's like .If 're big star war fan , wo n't happy .If 's kid Halloween , might happy .Just remember , 's mask , helmet .",0
I really like Chuck Taylor shoes and these aren't my first pair. But they are the first pair that have started to fall apart after 1 month of use. Not really falling apart but developing holes throughout the canvas. Not sure what's going on but I'm very disappointed.,1
" It arrived horrible condition , clock crushed regular number like picture , roman number , I dissatisfied I wanted one regular number main reason I ordered , came crushed roman number , grandson highly upset made upset sad .",1
 Not impressive person picture .,1
Everything was joy until my skx stop working after 9 months of use without submerging it and taking good care of it. When I sent it to a Seiko authorized repair center they told me that the watch has been opened in the past and a rubber seal was broken and left inside. Basically they told me that my watch was not new when I bought it. Even when the product description said it was new. I have the invoice and I can get a authorized repair center opiniion if clarification needed.,1
I specifically wanted leather converse the description said that they where leather when they came they where not so I don't understand where I went wrong in my ordering,1
"Are these fake??? I usually buy my Keds in store but was too lazy this time so i ordered these. I ordered a size 6 which i normally am, but these were HUGE! I thought they had sent me at least a size 8 but the box said 6. Really doubting the authenticity. Dont buy!",0
It started falling apart after one day :(,1
 This review 100 % actual company boot sold BareBones WorkWear since I yet receive order .I ordered boot 12/3 son Christmas - love cowboy boot totally worn old pair looked like great choice .According original order pay shipping I received notification item would ship 12/7-12/10 estimated delivery date 12/12-12/17 .On 12/18 receiving I went online Amazon selected contact seller sent email waited response .On 12/19 I still heard I emailed another time .After hearing I tried call several time .I finally able talk someone Barebones told glitch computer several order never went thru mine included .She said would process order would received Christmas - best could 3 day shipping would 24-48 hr would take warehouse get order ready .So I asked could n't overnighted ? ?And get - could overnight shiping charge would end costing item HAHA SERIOUSLY -- - problem .I think owe customer make situation right given could still get gift u could tree Christmas .Thanks listening vent .Hope n't reflect quality boot since customer service little desired .Oh I forgot mention - offer remove shipping charge -- still n't fix issue ! !!,0
1/2 or 1 size too big. Very disappointed. Great price and fast shipping but not true to size.,1
"I had the same problem as another reviewer where after 2 months the watch started getting slow by several minutes a day. I replaced the battery, didn't help. Sent it to the manufacturer for repairs, and they sent it back claiming to have fixed it, but the problem persisted. And I was out the shipping & handling costs. It is nice-looking, but not a good timepiece.",1
"This is the first time that I have ever written a 1-star review. The product description says that these socks are 100% cotton.  What arrived however was 54% polyester, 44% cotton and 1% spandex. My wife was sooooo disappointed.  I am returning these socks unopened.Note that not everyone can wear synthetic fibers.  They make my wife feel like her skin is on fire.Incorrect fabric claims is inexcusable.",1
They were COUNTERFEITS -you think after 30 yrs of buying K-Swiss Classics that I couldn't spot a fake! Sizing not correct poor quality leather and construction! Send back for full refund. I'm still learning. Careful what you believe in reading when shopping on the Internet! First time with Levi's! They were fakes too! NOW KSwiss?  What's true and what's scams and where's my perfect world they promised us when we were kids in the 1960's?,0
"It seems like something has changed in the sizing.  I've been a 48 in birkenstock of all types since I first purchased birkenstock.  I did once have to buy a smaller size (46) because I was in a bind and I ended up buying another (correct, 48) pair a couple weeks later.  This feels like that smaller sized shoe, like a 46.  The box says 48, the inside of the shoe says 48, it's disappointing",1
although the clips were good the over all stretch of the back elastic was very poor too short and didnot fit at all they were to tight I did not like them  and  could not wear them. to bad!,1
They were bigger than expected.  Almost 2 sizes too big for me,1
"I am giving this product 2 stars instead of 1, because they seem like they are extremely well made and will last for a long time, but it has failed in about every other aspect, especially for its price range.1. Does not come even close to fitting, this shoe fits like its 1-2 sizes bigger than stated, and i specifically chose a smaller size to make sure it would fit well.2. it has NO grip on wet ground or rock, it is more slippery than my normal sneakers.3. it purports to prevent odor, but after only wearing them about 5 times,  well lets just say that claim stinks...4. They are easily the most uncomfortable shoes I have ever worn in this price range, I have even worn $10 shoes that where more comfortable, the backs of these shoes press at an odd angle against my achilles tendon, making it quite sore by the end of the day, and my arch is pretty sore after wearing them as well.5. No real ankle support at all, that is likely do mostly to being so loose though...I honestly just do not understand why such a universally loved shoe and brand has turned out so absolutely horrible, maybe its just me, but these are not worth even half what i payed... i wish i could say different though, as I had high  hopes for these, as I purchased them for work, which includes a lot of varied terrain, I really need a good shoe soon :/",1
"The matching earrings are for some reason a much nicer quality. The necklace rope measured 14 inches and the pendent made it just under 16. The metal quality is sturdy but looks fake like costume jewelry. For the $36.99 I paid, I'd be willing to say it was a fair price for the quality.",0
The S fell off the chest and I didn't even get a chance to wash it. The shoe cover doesn't stay on well and it will not completely cover the shoe. (size 9 shoe) I'm not as happy with Superman as I am with Batman.,1
"This is a fake Kanken!! I returned this immediately. Don't buy this, just get one from the Kanken site and save yourself the hassle.",0
" Look different one famous footwear , cheaper ??",1
It rides up. It is a good fit. Not a lot of support,1
Didn't fit well in the crotch.  I bought 4 pairs of these.,1
"60 y.o.  size 4.5-5.0 who is reverting her lifestyle after being diagnosed with a disease.  The Chuck Taylor Classic is a very popular shoe no matter the age (however, 60 might be too old, but I WANT A PAIR!  All websites that carry the shoe have size 5 as the smalled and also admit the shoes are 1/2 to 1 size larger.For MANY YEARS I have had so much trouble getting shoes in my size and have had to go to Shoe Stores and get them to order with 2 week wait.  NOT.Just ""venting"" after looking in all website for a pair of Converse Chuck Taylor 's All Stars.",1
"The pair of boots fit just as a I imagined it would. I normally wear size 8 for boots for women and I purchased a size 6 and it fit my feet fine. My complaint is that the insoles are not the usual color of timberlands and the logo is not dark brown like real timberlands. As a matter of fact, the logo is the same color as the boots which is a mustard yellow.  I also do not see the serial numbers every timberland boots should have. So, I suspect that these boots are fake. I will not purchase again.",1
"Shipped fast. The fit seemed fine but they snagged/ripped down the back of my leg the first time I put them on, within 5 minutes of wearing them! Wasted my money.",1
" i order `` larg white belt buckl w/ roller buckl .`` the titl item pictur item , along product descript product review ... indic belt come buckl .it .i 've tri contact compani find heck buckl , return belt ... n't heard anyon ! not mention , belt seem cheap , like fall apart quickly.i recommend.update- 5/9/13the compani made good buckl forgot send .i receiv today .look exactli like one pictur .it 's noth special , given i function belt , nice .i think i might give 3 star instead one.upd - 6/21/13thi belt actual held well husband , look pretti nice .i think i rais vote 4 star .i think i might even order one , cut length fit !lol",1
"this pants is do dirty and stick dust. is not smooth . I wash ten times is dus is stick in the pants save you money and don,t buy amazon hagar you will be piss. save you dolar and energy. here is fake haggar and scam",0
Very disappointed. I had a spanx in the past with no issues. This product did not hold anything in and the top part kept rolling down. Will try a smaller size next time,1
too large,1
"I purchased real Havaiana sandals about a month ago and just recently purchased these because I left mine at a hotel resort in Mexico. I was excited because I hadn't seen this color combination in stores and I should have known it is because it probably doesn't exist in the real Havaiana collection. The left sandal is so fake that it can't even hold my foot in it. My heel goes to the right because the back of the flip flop is too thick. NOT REAL, save your money and go to nordstroms and just buy them for $18",0
" the materi appear nice .it sever inch long 5 ' 6 person .most importantli , match product descript .the descript say `` metal fasten clasp . ''thi true .it cheap velcro frog clasp come apart slightest movement .becaus , i return .",1
"Love the shoes but they are way too big and I'm not having any luck exchanging them at this point.... or even returning them... maybe this will be resolved, I hope so.",1
